[INFO] [1781627036.068090049] [cmd_vel_bridge]: Motor UART opened: /dev/ttyV4 @ 115200 baud
[INFO] [1781627036.070237138] [cmd_vel_bridge]: CmdVelBridge initialized. Mode: PAUSE
[INFO] [1781627036.070252046] [cmd_vel_bridge]: Wheel base: 0.70 m, Max speed: 2.78 m/s
[WARN] [1781627036.091474568] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.111468169] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.131438756] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.151440823] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.171448741] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.191459404] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.211446502] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.231451494] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.251461736] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.271448123] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.291456201] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.311501870] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.331490481] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.351462501] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.371450281] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.391445745] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.411455536] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.431457683] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.451451164] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.471449183] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.491447463] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
[WARN] [1781627036.511455120] [cmd_vel_bridge]: Received cmd_vel but not in DRIVE mode. Ignoring.
