[INFO] [1781617343.087341651] [navigation_fusion]: Navigation fusion node initialized
[INFO] [1781617343.087377248] [navigation_fusion]: GNSS timeout: 2.0 sec, Min satellites: 8
[WARN] [1781617343.107414170] [navigation_fusion]: GNSS lost! Switching to odometry mode (time: 0.0 sec)
[INFO] [1781617343.107499330] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 0.00 m | Time: 0.0 sec
[WARN] [1781617343.184039372] [navigation_fusion]: New publisher discovered on topic '/nav/pose', offering incompatible QoS. No messages will be sent to it. Last incompatible policy: RELIABILITY_QOS_POLICY
[WARN] [1781617343.184084697] [navigation_fusion]: New publisher discovered on topic '/gkv2/status', offering incompatible QoS. No messages will be sent to it. Last incompatible policy: RELIABILITY_QOS_POLICY
[INFO] [1781617348.127434764] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 2.47 m | Time: 5.0 sec
[INFO] [1781617353.147434431] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 4.98 m | Time: 10.1 sec
[INFO] [1781617358.167423040] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 7.49 m | Time: 15.1 sec
[INFO] [1781617363.167441393] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 9.99 m | Time: 20.1 sec
[INFO] [1781617368.187423671] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 12.50 m | Time: 25.1 sec
[INFO] [1781617373.207421526] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 15.01 m | Time: 30.1 sec
[INFO] [1781617378.207434359] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 17.51 m | Time: 35.1 sec
[INFO] [1781617383.207469581] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 20.01 m | Time: 40.1 sec
[INFO] [1781617388.227432419] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 22.52 m | Time: 45.1 sec
[INFO] [1781617393.247437446] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 25.03 m | Time: 50.2 sec
[INFO] [1781617398.267432242] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 27.54 m | Time: 55.2 sec
[INFO] [1781617403.267433540] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 30.04 m | Time: 60.2 sec
[INFO] [1781617408.267435114] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 32.54 m | Time: 65.2 sec
[INFO] [1781617413.287439117] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 35.05 m | Time: 70.2 sec
[INFO] [1781617418.287442096] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 37.55 m | Time: 75.2 sec
[INFO] [1781617423.287449651] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 40.05 m | Time: 80.2 sec
[INFO] [1781617428.287456855] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 42.55 m | Time: 85.2 sec
[INFO] [1781617433.307422234] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 45.06 m | Time: 90.2 sec
[INFO] [1781617438.307424531] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 47.56 m | Time: 95.2 sec
