[INFO] [1781618688.137937401] [navigation_fusion]: Navigation fusion node initialized
[INFO] [1781618688.137977206] [navigation_fusion]: GNSS timeout: 2.0 sec, Min satellites: 8
[WARN] [1781618688.138080721] [navigation_fusion]: New publisher discovered on topic '/nav/pose', offering incompatible QoS. No messages will be sent to it. Last incompatible policy: RELIABILITY_QOS_POLICY
[WARN] [1781618688.139174789] [navigation_fusion]: New publisher discovered on topic '/gkv2/status', offering incompatible QoS. No messages will be sent to it. Last incompatible policy: RELIABILITY_QOS_POLICY
[WARN] [1781618688.158004723] [navigation_fusion]: GNSS lost! Switching to odometry mode (time: 0.0 sec)
[INFO] [1781618688.158077039] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 0.01 m | Time: 0.0 sec
[INFO] [1781618693.178021752] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 2.52 m | Time: 5.0 sec
[INFO] [1781618698.178030109] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 5.02 m | Time: 10.0 sec
[INFO] [1781618703.198020555] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 7.53 m | Time: 15.1 sec
[INFO] [1781618708.198021227] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 10.03 m | Time: 20.1 sec
[INFO] [1781618713.198026116] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 12.53 m | Time: 25.1 sec
[INFO] [1781618718.198027228] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 15.03 m | Time: 30.1 sec
[INFO] [1781618723.218017714] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 17.54 m | Time: 35.1 sec
[INFO] [1781618728.218021213] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 20.04 m | Time: 40.1 sec
[INFO] [1781618733.218021822] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 22.54 m | Time: 45.1 sec
[INFO] [1781618738.218026367] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 25.04 m | Time: 50.1 sec
[INFO] [1781618743.238020426] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 27.55 m | Time: 55.1 sec
[INFO] [1781618748.238023214] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 30.05 m | Time: 60.1 sec
[INFO] [1781618753.258026477] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 32.56 m | Time: 65.1 sec
[INFO] [1781618758.278018047] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 35.07 m | Time: 70.1 sec
[INFO] [1781618763.278037596] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 37.57 m | Time: 75.1 sec
[INFO] [1781618768.278038566] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 40.07 m | Time: 80.1 sec
[INFO] [1781618773.278046987] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 42.57 m | Time: 85.1 sec
[INFO] [1781618778.298022201] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 45.08 m | Time: 90.2 sec
[INFO] [1781618783.318018844] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 47.59 m | Time: 95.2 sec
[INFO] [1781618788.338016821] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 50.10 m | Time: 100.2 sec
[INFO] [1781618793.338019569] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 52.60 m | Time: 105.2 sec
[INFO] [1781618798.338023200] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 55.10 m | Time: 110.2 sec
[INFO] [1781618803.358023291] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 57.61 m | Time: 115.2 sec
[INFO] [1781618808.358028492] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 60.11 m | Time: 120.2 sec
[INFO] [1781618813.378018238] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 62.62 m | Time: 125.2 sec
[INFO] [1781618818.378020524] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 65.12 m | Time: 130.2 sec
[INFO] [1781618823.378024213] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 67.62 m | Time: 135.2 sec
[INFO] [1781618828.398021692] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 70.13 m | Time: 140.3 sec
[INFO] [1781618833.398028044] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 72.63 m | Time: 145.3 sec
[INFO] [1781618838.418020402] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 75.14 m | Time: 150.3 sec
[INFO] [1781618843.418021445] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 77.64 m | Time: 155.3 sec
[INFO] [1781618848.418023178] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 80.14 m | Time: 160.3 sec
[INFO] [1781618853.418024663] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 82.64 m | Time: 165.3 sec
[INFO] [1781618858.418025691] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 85.14 m | Time: 170.3 sec
[INFO] [1781618863.438023349] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 87.65 m | Time: 175.3 sec
[INFO] [1781618868.458023536] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 90.16 m | Time: 180.3 sec
[INFO] [1781618873.458027498] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 92.66 m | Time: 185.3 sec
[INFO] [1781618878.478022978] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 95.17 m | Time: 190.3 sec
[INFO] [1781618883.478058573] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 97.67 m | Time: 195.3 sec
[INFO] [1781618888.498029443] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 100.18 m | Time: 200.4 sec
[INFO] [1781618893.498041866] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 102.68 m | Time: 205.4 sec
[INFO] [1781618898.518039241] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 105.19 m | Time: 210.4 sec
[INFO] [1781618903.538026340] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 107.70 m | Time: 215.4 sec
[INFO] [1781618908.558025769] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 110.21 m | Time: 220.4 sec
[INFO] [1781618913.578019369] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 112.72 m | Time: 225.4 sec
[INFO] [1781618918.578019734] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 115.22 m | Time: 230.4 sec
[INFO] [1781618923.578022972] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 117.72 m | Time: 235.4 sec
[INFO] [1781618928.598017445] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 120.23 m | Time: 240.5 sec
[INFO] [1781618933.598020936] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 122.73 m | Time: 245.5 sec
[INFO] [1781618938.618020009] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 125.24 m | Time: 250.5 sec
[INFO] [1781618943.638043796] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 127.75 m | Time: 255.5 sec
[INFO] [1781618948.658021285] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 130.26 m | Time: 260.5 sec
[INFO] [1781618953.658024368] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 132.76 m | Time: 265.5 sec
[INFO] [1781618958.678017853] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 135.27 m | Time: 270.5 sec
[INFO] [1781618963.678019921] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 137.77 m | Time: 275.5 sec
[INFO] [1781618968.678023896] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 140.27 m | Time: 280.5 sec
[INFO] [1781618973.698021234] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 142.78 m | Time: 285.6 sec
[INFO] [1781618978.718019297] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 145.29 m | Time: 290.6 sec
[INFO] [1781618983.718025518] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 147.79 m | Time: 295.6 sec
[INFO] [1781618988.738020996] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 150.30 m | Time: 300.6 sec
[INFO] [1781618993.738021122] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 152.80 m | Time: 305.6 sec
[INFO] [1781618998.758019971] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 155.31 m | Time: 310.6 sec
[INFO] [1781619003.758025604] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 157.81 m | Time: 315.6 sec
[INFO] [1781619008.758039507] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 160.31 m | Time: 320.6 sec
[INFO] [1781619013.778031199] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 162.82 m | Time: 325.6 sec
[INFO] [1781619018.778033957] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 165.32 m | Time: 330.6 sec
[INFO] [1781619023.778035171] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 167.82 m | Time: 335.6 sec
[INFO] [1781619028.798020467] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 170.33 m | Time: 340.7 sec
[INFO] [1781619033.798044246] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 172.83 m | Time: 345.7 sec
[INFO] [1781619038.818042373] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 175.34 m | Time: 350.7 sec
[INFO] [1781619043.838027177] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 177.85 m | Time: 355.7 sec
[INFO] [1781619048.858024700] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 180.36 m | Time: 360.7 sec
[INFO] [1781619053.858042596] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 182.86 m | Time: 365.7 sec
[INFO] [1781619058.878024042] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 185.37 m | Time: 370.7 sec
[INFO] [1781619063.898020427] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 187.88 m | Time: 375.8 sec
[INFO] [1781619068.898029811] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 190.38 m | Time: 380.8 sec
[INFO] [1781619073.918028024] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 192.89 m | Time: 385.8 sec
[INFO] [1781619078.938023493] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 195.40 m | Time: 390.8 sec
[INFO] [1781619083.938025169] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 197.90 m | Time: 395.8 sec
[INFO] [1781619088.938026502] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 200.40 m | Time: 400.8 sec
[INFO] [1781619093.938043409] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 202.90 m | Time: 405.8 sec
[INFO] [1781619098.958021117] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 205.41 m | Time: 410.8 sec
[INFO] [1781619103.958028970] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 207.91 m | Time: 415.8 sec
[INFO] [1781619108.978030401] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 210.42 m | Time: 420.8 sec
[INFO] [1781619113.998023956] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 212.93 m | Time: 425.9 sec
[INFO] [1781619118.998025893] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 215.43 m | Time: 430.9 sec
[INFO] [1781619124.018022369] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 217.94 m | Time: 435.9 sec
[INFO] [1781619129.018032608] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 220.44 m | Time: 440.9 sec
[INFO] [1781619134.038022794] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 222.95 m | Time: 445.9 sec
[INFO] [1781619139.058025723] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 225.46 m | Time: 450.9 sec
[INFO] [1781619144.058028413] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 227.96 m | Time: 455.9 sec
[INFO] [1781619149.078028475] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 230.47 m | Time: 460.9 sec
[INFO] [1781619154.098016683] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 232.98 m | Time: 466.0 sec
[INFO] [1781619159.118015535] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 235.49 m | Time: 471.0 sec
[INFO] [1781619164.118024148] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 237.99 m | Time: 476.0 sec
[INFO] [1781619169.138021339] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 240.50 m | Time: 481.0 sec
[INFO] [1781619174.158019151] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 243.01 m | Time: 486.0 sec
[INFO] [1781619179.158023058] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 245.51 m | Time: 491.0 sec
[INFO] [1781619184.158024647] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 248.01 m | Time: 496.0 sec
[INFO] [1781619189.158026245] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 250.51 m | Time: 501.0 sec
[INFO] [1781619194.178024514] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 253.02 m | Time: 506.0 sec
[INFO] [1781619199.198022962] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 255.53 m | Time: 511.1 sec
[INFO] [1781619204.198046215] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 258.03 m | Time: 516.1 sec
[INFO] [1781619209.218032553] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 260.54 m | Time: 521.1 sec
[INFO] [1781619214.238028852] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 263.05 m | Time: 526.1 sec
[INFO] [1781619219.238050092] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 265.55 m | Time: 531.1 sec
[INFO] [1781619224.258033738] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 268.06 m | Time: 536.1 sec
[INFO] [1781619229.278019589] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 270.57 m | Time: 541.1 sec
[INFO] [1781619234.278026775] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 273.07 m | Time: 546.1 sec
[INFO] [1781619239.298027427] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 275.58 m | Time: 551.2 sec
[INFO] [1781619244.318028203] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 278.09 m | Time: 556.2 sec
[INFO] [1781619249.338024572] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 280.60 m | Time: 561.2 sec
[INFO] [1781619254.358020526] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 283.11 m | Time: 566.2 sec
[INFO] [1781619259.378021783] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 285.62 m | Time: 571.2 sec
[INFO] [1781619264.378037377] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 288.12 m | Time: 576.2 sec
[INFO] [1781619269.398022708] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 290.63 m | Time: 581.3 sec
[INFO] [1781619274.398033944] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 293.13 m | Time: 586.3 sec
[INFO] [1781619279.418020827] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 295.64 m | Time: 591.3 sec
[INFO] [1781619284.418030781] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 298.14 m | Time: 596.3 sec
[INFO] [1781619289.438034186] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 300.65 m | Time: 601.3 sec
[INFO] [1781619291.194289108] [rclcpp]: signal_handler(SIGINT/SIGTERM)
